;name;id;wikidataId;firstAuthor;numOfCoAuthors;title;subtitle;normalizedGenre;digitalSource;originalSourcePublisher;originalSourcePubPlace;originalSourceYear;originalSourceNumberOfPages;yearNormalized;size;libretto;averageClustering;density;averagePathLength;maxDegreeIds;averageDegree;diameter;yearPremiered;yearPrinted;maxDegree;numOfSpeakers;numOfSpeakersFemale;numOfSpeakersMale;numOfSpeakersUnknown;numPersonGroups;numConnectedComponents;numEdges;yearWritten;numOfSegments;wikipediaLinkCount;numOfActs;wordCountText;wordCountSp;wordCountStage;numOfP;numOfL;firstAuthorFirstname;firstAuthorGender;BDSL_autortitel;BDSL_autor
500;schnitzler-lebendige-stunden;ger000556;Q1335820;Schnitzler;0;Lebendige Stunden;Ein Akt;;http://www.textgridrep.org/textgrid:v3s3.0;;;;;1902;3;False;1.0;1.0;1.0;borromaeus|hausdorfer|heinrich;2.0;1;1902;1902.0;2;3;0;3;0;;1;3;1901;1;1;1;4211;4117;353;156;0;Arthur;male;2;1810
501;schnitzler-liebelei;ger000080;Q1823758;Schnitzler;0;Liebelei;Schauspiel in drei Akten;;http://www.textgridrep.org/textgrid:v3vb.0;;;;;1895;9;False;0.8687830687830689;0.7777777777777778;12.222.222.222.222.200;theodor|mizi|christine;6.222.222.222.222.220;2;1895;1896.0;8;9;4;5;0;;1;28;1894;3;4;3;14999;14868;2341;961;0;Arthur;male;14;1810
502;schnitzler-literatur;ger000559;Q1865099;Schnitzler;0;Literatur;Lustspiel in einem Akt;Comedy;http://www.textgridrep.org/textgrid:v3s3.0;;;;;1902;3;False;1.0;1.0;1.0;klemens|margarete|gilbert;2.0;1;1902;1902.0;2;3;1;2;0;;1;3;1901;1;1;1;7031;6944;308;405;0;Arthur;male;42;1810
503;schnitzler-professor-bernhardi;ger000343;Q872683;Schnitzler;0;Professor Bernhardi;Komödie in fünf Akten;Comedy;http://www.textgridrep.org/textgrid:v3tw.0;;;;;1912;23;False;0.8271397333316838;0.6047430830039525;13.952.569.169.960.400;bernhardi;13.304.347.826.086.900;2;1912;1912.0;22;23;1;22;0;;1;153;;5;3;5;37476;36960;2722;1665;0;Arthur;male;17;1810
504;schnitzler-reigen;ger000232;Q1414190;Schnitzler;0;Reigen;;;http://www.textgridrep.org/textgrid:v3w3.0;;;;;1903;11;False;0.1515151515151515;0.2181818181818181;28.181.818.181.818.100;dirne|graf;21.818.181.818.181.800;5;1920;1903.0;3;11;6;5;0;;1;12;1897;10;10;0;19387;18538;2410;1431;0;Arthur;male;86;1810
505;schnitzler-zum-grossen-wurstel;ger000022;Q29014616;Schnitzler;0;Zum grossen Wurstel;Burleske in einem Akt;Comedy;http://www.textgridrep.org/textgrid:v3t6.0;;;;;1906;31;False;1.0;1.0;1.0;several characters;30.0;1;1906;1906.0;30;31;5;23;3;;1;465;1902/1904;1;1;1;5465;5157;1272;147;374;Arthur;male;5;1810
506;schober-alfonso-und-estrella;ger000154;Q2032667;Schober;0;Alfonso und Estrella;Romantische Oper in drei Akten;;http://www.textgridrep.org/textgrid:v401.0;;;;;1854;18;True;0.8210598043931379;0.5163398692810458;1.522.875.816.993.460;chor_der_frauen;8.777.777.777.777.770;3;1854;;14;18;4;11;3;;1;79;;23;9;3;6163;5702;886;0;918;Franz;male;0;0
507;schoenherr-der-weibsteufel;ger000478;Q1197996;Schönherr;0;Der Weibsteufel;Drama in fünf Akten;;https://www.gutenberg.org/ebooks/49059;;;;;1914;3;False;1.0;1.0;1.0;mann|weib|jaeger;2.0;1;1915;1914.0;2;3;1;2;0;;1;3;1914;5;1;5;19016;18900;5788;699;0;Karl;male;1;21
508;schoenthan-der-raub-der-sabinerinnen;ger000271;Q1196392;Schönthan;1;Der Raub der Sabinerinnen;Schwank in vier Akten;Comedy;http://www.textgridrep.org/textgrid:v409.0;;;;;1884;11;False;0.9292929292929294;0.7272727272727273;1.290.909.090.909.090;several characters;7.272.727.272.727.270;3;1884;1885.0;9;11;5;6;0;;1;40;;46;1;4;22873;22444;3515;1278;2;Franz;male;0;0
509;schouwaert-die-ueberschwemmung;ger000466;Q51368953;Schouwärt;0;Die Überschwemmung;Ein Schauspiel in drey Akten;;https://de.wikisource.org/wiki/Schouwärt_–_Die_Ueberschwemmung_(1784);;;;;1784;16;False;0.8665237540237541;0.6333333333333333;13.916.666.666.666.600;poell|leopoldine|amtmann;09. Mai;3;;1784.0;13;16;4;11;1;;1;76;1784;48;0;3;20133;19610;665;583;6;Franz;male;0;0
